,winner,winner_url,looser,looser_url
0,Islam Makhachev,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,Jack Della Maddalena,http://www.ufcstats.com/fighter-details/6b453bc35a823c3f
1,Valentina Shevchenko,http://www.ufcstats.com/fighter-details/132deb59abae64b1,Zhang Weili,http://www.ufcstats.com/fighter-details/1ebe20ebbfa15e29
2,Michael Morales,http://www.ufcstats.com/fighter-details/c32aeb1a59e6272d,Sean Brady,http://www.ufcstats.com/fighter-details/45f7cb591c3ab00b
3,Carlos Prates,http://www.ufcstats.com/fighter-details/7ee0fd831c0fe7c3,Leon Edwards,http://www.ufcstats.com/fighter-details/f1fac969a1d70b08
4,Benoit Saint Denis,http://www.ufcstats.com/fighter-details/c2299ec916bc7c56,Beneil Dariush,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
5,Bo Nickal,http://www.ufcstats.com/fighter-details/35673bf5204524ee,Rodolfo Vieira,http://www.ufcstats.com/fighter-details/260e9e0d4954aea6
6,Gregory Rodrigues,http://www.ufcstats.com/fighter-details/d1c65d2cf2925ddd,Roman Kopylov,http://www.ufcstats.com/fighter-details/9d83f6da776ff7d6
7,Erin Blanchfield,http://www.ufcstats.com/fighter-details/669970f7feba8ecd,Tracy Cortez,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029
8,Ethyn Ewing,http://www.ufcstats.com/fighter-details/d776b5814f2400b4,Malcolm Wellmaker,http://www.ufcstats.com/fighter-details/2e45d08b3f2f02c8
9,Kyle Daukaus,http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,Gerald Meerschaert,http://www.ufcstats.com/fighter-details/6ac9bc2953c47345
10,Pat Sabatini,http://www.ufcstats.com/fighter-details/b8bbdeff718dbb7d,Chepe Mariscal,http://www.ufcstats.com/fighter-details/e0c6edcb5b5d0b90
11,Fatima Kline,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da,Angela Hill,http://www.ufcstats.com/fighter-details/f0feeb2192937424
12,Baisangur Susurkaev,http://www.ufcstats.com/fighter-details/d1feea7a4bdcd503,Eric McConico,http://www.ufcstats.com/fighter-details/9508cc6184cb2450
13,Matheus Camilo,http://www.ufcstats.com/fighter-details/72f890c5d421e705,Viacheslav Borshchev,http://www.ufcstats.com/fighter-details/19c591115a58982c
