,winner,winner_url,looser,looser_url,outcome
0,Islam Makhachev,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,Jack Della Maddalena,http://www.ufcstats.com/fighter-details/6b453bc35a823c3f,1.0
1,Zhang Weili,http://www.ufcstats.com/fighter-details/1ebe20ebbfa15e29,Valentina Shevchenko,http://www.ufcstats.com/fighter-details/132deb59abae64b1,0.0
2,Michael Morales,http://www.ufcstats.com/fighter-details/c32aeb1a59e6272d,Sean Brady,http://www.ufcstats.com/fighter-details/45f7cb591c3ab00b,1.0
3,Leon Edwards,http://www.ufcstats.com/fighter-details/f1fac969a1d70b08,Carlos Prates,http://www.ufcstats.com/fighter-details/7ee0fd831c0fe7c3,0.0
4,Benoit Saint Denis,http://www.ufcstats.com/fighter-details/c2299ec916bc7c56,Beneil Dariush,http://www.ufcstats.com/fighter-details/08af939f41b5a57b,1.0
5,Rodolfo Vieira,http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,Bo Nickal,http://www.ufcstats.com/fighter-details/35673bf5204524ee,0.0
6,Roman Kopylov,http://www.ufcstats.com/fighter-details/9d83f6da776ff7d6,Gregory Rodrigues,http://www.ufcstats.com/fighter-details/d1c65d2cf2925ddd,0.0
7,Erin Blanchfield,http://www.ufcstats.com/fighter-details/669970f7feba8ecd,Tracy Cortez,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029,1.0
8,Malcolm Wellmaker,http://www.ufcstats.com/fighter-details/2e45d08b3f2f02c8,Ethyn Ewing,http://www.ufcstats.com/fighter-details/d776b5814f2400b4,0.0
9,Kyle Daukaus,http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,Gerald Meerschaert,http://www.ufcstats.com/fighter-details/6ac9bc2953c47345,1.0
10,Chepe Mariscal,http://www.ufcstats.com/fighter-details/e0c6edcb5b5d0b90,Pat Sabatini,http://www.ufcstats.com/fighter-details/b8bbdeff718dbb7d,0.0
11,Angela Hill,http://www.ufcstats.com/fighter-details/f0feeb2192937424,Fatima Kline,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da,0.0
12,Baisangur Susurkaev,http://www.ufcstats.com/fighter-details/d1feea7a4bdcd503,Eric McConico,http://www.ufcstats.com/fighter-details/9508cc6184cb2450,1.0
13,Viacheslav Borshchev,http://www.ufcstats.com/fighter-details/19c591115a58982c,Matheus Camilo,http://www.ufcstats.com/fighter-details/72f890c5d421e705,0.0
14,Randy Brown,http://www.ufcstats.com/fighter-details/c6aee362c7a7d482,Gabriel Bonfim,http://www.ufcstats.com/fighter-details/01641ba5df0c69b0,0.0
15,Matt Schnell,http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e,Joseph Morales,http://www.ufcstats.com/fighter-details/2fe9032955c2e013,0.0
16,Muslim Salikhov,http://www.ufcstats.com/fighter-details/447f9858ae78f921,Uros Medic,http://www.ufcstats.com/fighter-details/681399317dbf4701,0.0
17,Chris Padilla,http://www.ufcstats.com/fighter-details/06626b6287e1ae1e,Ismael Bonfim,http://www.ufcstats.com/fighter-details/eb393afdbe3293d5,1.0
18,Christian Leroy Duncan,http://www.ufcstats.com/fighter-details/a93f94c923c3a9cb,Marco Tulio,http://www.ufcstats.com/fighter-details/9384e71bca6c409d,1.0
19,Jamall Emmers,http://www.ufcstats.com/fighter-details/e00a3dee329a51f7,Hyder Amil,http://www.ufcstats.com/fighter-details/41cc71cbf210e0fe,1.0
20,Raoni Barcelos,http://www.ufcstats.com/fighter-details/b9f28e7045fdfce7,Ricky Simon,http://www.ufcstats.com/fighter-details/5987b2458f4b5290,1.0
