winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Islam Makhachev,Jack Della Maddalena,"5' 10""",170 lbs.,"70""",Southpaw,"Oct 27, 1991",2.45,58%,1.45,61%,3.1,56%,91%,1.0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",5.57,51%,3.84,63%,0.13,10%,64%,0.1,2025.0,15.0,15.0,9.0,9.0,1.0
Zhang Weili,Valentina Shevchenko,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",4.66,52%,2.63,53%,1.96,44%,63%,0.5,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",3.04,52%,2.0,63%,2.65,61%,76%,0.3,2025.0,5.0,5.0,2.0,9.0,0.0
Michael Morales,Sean Brady,"6' 0""",170 lbs.,"79""",Orthodox,"Jun 24, 1999",5.68,49%,3.26,53%,1.04,41%,89%,0.0,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",3.96,55%,3.05,59%,3.53,53%,86%,0.9,2025.0,7.0,7.0,3.0,5.0,1.0
Leon Edwards,Carlos Prates,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.6,54%,2.44,52%,1.25,37%,63%,0.4,"6' 1""",170 lbs.,"78""",Switch,"Aug 17, 1993",3.77,55%,4.53,47%,0.21,100%,80%,0.0,2025.0,0.0,8.0,1.0,5.0,0.0
Benoit Saint Denis,Beneil Dariush,"5' 11""",155 lbs.,"73""",Southpaw,"Dec 18, 1995",5.07,55%,4.21,42%,4.33,37%,70%,1.6,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.78,49%,2.62,57%,2.11,38%,82%,0.8,2025.0,2.0,5.0,1.0,8.0,1.0
Rodolfo Vieira,Bo Nickal,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",3.55,53%,4.38,49%,2.7,21%,75%,0.9,"6' 1""",185 lbs.,"76""",Southpaw,"Jan 14, 1996",3.35,61%,2.07,59%,3.1,55%,100%,2.5,2025.0,1.0,2.0,0.0,6.0,0.0
Roman Kopylov,Gregory Rodrigues,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1992",4.59,50%,5.18,52%,1.14,47%,88%,0.0,"6' 3""",185 lbs.,"75""",Orthodox,"Feb 17, 1992",5.6,51%,4.84,50%,1.93,34%,75%,0.4,2025.0,0.0,4.0,1.0,3.0,0.0
Erin Blanchfield,Tracy Cortez,"5' 4""",125 lbs.,"66""",Orthodox,"May 04, 1999",5.24,44%,4.25,58%,1.96,34%,78%,0.9,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",3.86,48%,3.01,57%,2.15,46%,59%,0.3,2025.0,1.0,6.0,1.0,6.0,1.0
Malcolm Wellmaker,Ethyn Ewing,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994",5.8,56%,5.39,52%,0.0,0%,57%,0.0,"5' 6""",145 lbs.,"69""",Orthodox,"Feb 16, 1998",5.67,52%,5.13,47%,3.0,60%,100%,0.0,2025.0,3.0,3.0,0.0,0.0,0.0
Kyle Daukaus,Gerald Meerschaert,"6' 2""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.32,53%,2.9,42%,2.08,25%,82%,2.1,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.01,45%,3.52,53%,1.82,30%,42%,1.4,2025.0,1.0,1.0,0.0,3.0,1.0
Chepe Mariscal,Pat Sabatini,"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992",4.14,55%,2.66,52%,2.34,39%,59%,0.2,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",1.69,59%,1.09,50%,4.48,50%,50%,1.5,2025.0,5.0,5.0,2.0,4.0,0.0
Angela Hill,Fatima Kline,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.37,50%,5.02,60%,0.75,30%,72%,0.1,"5' 6""",115 lbs.,"67""",Orthodox,"Jul 12, 2000",5.01,50%,2.71,57%,2.02,58%,50%,0.0,2025.0,0.0,3.0,2.0,2.0,0.0
Baisangur Susurkaev,Eric McConico,"6' 2""",185 lbs.,"79""",Orthodox,"Jan 08, 2001",4.56,59%,3.78,53%,2.76,28%,100%,0.7,"6' 0""",185 lbs.,"77""",Southpaw,"May 09, 1990",2.61,43%,3.23,46%,0.0,0%,64%,0.0,2025.0,2.0,2.0,1.0,1.0,1.0
Viacheslav Borshchev,Matheus Camilo,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",5.1,50%,4.46,57%,0.0,0%,43%,0.1,"5' 10""",155 lbs.,"69""",Orthodox,"Jan 02, 2001",2.19,43%,3.25,64%,4.43,53%,0%,0.6,2025.0,0.0,2.0,0.0,0.0,0.0
Randy Brown,Gabriel Bonfim,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",4.49,47%,3.33,54%,0.76,39%,73%,0.6,"6' 1""",170 lbs.,"72""",Orthodox,"Aug 20, 1997",4.61,46%,3.68,63%,3.6,55%,76%,1.4,2025.0,1.0,4.0,3.0,3.0,0.0
Matt Schnell,Joseph Morales,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.07,40%,4.11,55%,0.6,45%,43%,1.2,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",2.0,40%,2.05,57%,1.14,42%,26%,3.0,2025.0,1.0,4.0,1.0,1.0,0.0
Muslim Salikhov,Uros Medic,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984",3.37,49%,2.96,62%,1.07,32%,72%,0.0,"6' 1""",170 lbs.,"71""",Southpaw,"Apr 25, 1993",5.53,60%,3.46,56%,0.35,50%,55%,0.0,2025.0,3.0,5.0,1.0,2.0,0.0
Chris Padilla,Ismael Bonfim,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995",4.78,54%,3.87,55%,1.18,30%,75%,0.4,"5' 8""",155 lbs.,"71""",Orthodox,"Dec 28, 1995",5.51,54%,3.71,65%,1.06,33%,76%,0.0,2025.0,3.0,3.0,0.0,2.0,1.0
Christian Leroy Duncan,Marco Tulio,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",4.6,58%,2.97,51%,0.4,20%,69%,0.0,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",6.69,58%,2.58,59%,1.42,26%,0%,0.3,2025.0,2.0,2.0,4.0,4.0,1.0
Jamall Emmers,Hyder Amil,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.1,49%,3.92,57%,2.59,53%,81%,0.3,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.81,52%,3.95,51%,0.56,18%,65%,0.8,2025.0,1.0,1.0,0.0,4.0,1.0
Raoni Barcelos,Ricky Simon,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",4.92,51%,4.4,61%,2.22,31%,87%,0.6,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.04,43%,3.85,61%,4.66,41%,76%,0.3,2025.0,3.0,5.0,2.0,5.0,1.0
Mayra Bueno Silva,Jacqueline Cavalcanti,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",3.71,56%,4.9,51%,0.51,23%,63%,1.3,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997",5.65,46%,3.17,68%,0.0,0%,88%,0.0,2025.0,0.0,3.0,4.0,4.0,0.0
Max Gimenis,Josh Hokit,"6' 2""",256 lbs.,"75""",Orthodox,"Apr 14, 1993",3.21,42%,9.64,47%,0.0,0%,0%,0.0,"6' 1""",236 lbs.,"73""",Orthodox,"Nov 12, 1997",5.12,69%,1.42,56%,12.8,46%,0%,0.0,2025.0,0.0,0.0,1.0,1.0,0.0
Denise Gomes,Tecia Pennington,"5' 2""",115 lbs.,"63""",Orthodox,"Dec 30, 1999",4.43,49%,3.16,51%,1.45,34%,66%,0.7,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.73,48%,3.48,61%,0.56,14%,62%,0.1,2025.0,3.0,3.0,2.0,3.0,1.0
